timestamp,user,ip,city,country,latitude,longitude,device,mfa_result,success,role,is_admin
2026-01-01T08:20:55,charlie,22.186.231.144,Chicago,US,41.8781,-87.6298,Win10-Laptop,1,1,analyst,0
2026-01-01T08:27:18,geeta,132.28.131.109,Philadelphia,US,39.9526,-75.1652,MacBook,1,1,employee,0
2026-01-01T10:08:13,dana,94.183.167.203,New York,US,40.7128,-74.006,iPhone,1,1,analyst,0
2026-01-01T10:38:59,bob,70.180.196.80,Philadelphia,US,39.9526,-75.1652,MacBook,1,0,admin,1
2026-01-01T11:12:10,dana,59.58.187.253,New York,US,40.7128,-74.006,Android,1,1,analyst,0
2026-01-01T12:03:22,edgar,33.125.60.82,New York,US,40.7128,-74.006,Android,1,1,employee,0
2026-01-01T13:08:23,hari,165.10.61.237,San Jose,US,37.3382,-121.8863,Win10-Laptop,1,1,engineer,0
2026-01-01T13:12:45,alice,151.72.208.223,Philadelphia,US,39.9526,-75.1652,MacBook,1,1,employee,0
2026-01-01T13:27:54,bob,173.165.143.7,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,1,admin,1
2026-01-01T14:00:48,alice,40.56.246.196,Philadelphia,US,39.9526,-75.1652,Android,1,1,employee,0
2026-01-01T14:15:46,charlie,28.35.78.2,Chicago,US,41.8781,-87.6298,MacBook,1,1,analyst,0
2026-01-01T15:05:37,alice,130.155.7.144,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,0,1,employee,0
2026-01-01T16:48:57,hari,63.159.21.16,San Jose,US,37.3382,-121.8863,Win11-Work,1,1,engineer,0
2026-01-01T16:57:15,charlie,36.69.78.69,Chicago,US,41.8781,-87.6298,Win10-Laptop,1,1,analyst,0
2026-01-01T17:50:13,frida,31.71.37.194,New York,US,40.7128,-74.006,Win11-Work,1,1,employee,0
2026-01-01T19:31:09,charlie,201.20.93.65,Bengaluru,IN,12.9716,77.5946,Win10-Laptop,1,1,analyst,0
2026-01-01T21:26:10,frida,237.149.11.35,New York,US,40.7128,-74.006,iPhone,1,1,employee,0
2026-01-01T21:35:50,edgar,188.50.6.177,New York,US,40.7128,-74.006,Android,1,1,employee,0
2026-01-01T21:49:32,geeta,101.12.22.107,Frankfurt,DE,50.1109,8.6821,Android,1,1,employee,0
2026-01-01T23:26:06,geeta,91.66.150.21,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,1,employee,0
2026-01-02T00:52:16,edgar,130.98.188.48,New York,US,40.7128,-74.006,iPhone,1,1,employee,0
2026-01-02T01:00:00,frida,228.73.107.178,New York,US,40.7128,-74.006,MacBook,1,1,employee,0
2026-01-02T02:56:55,alice,170.59.198.75,Philadelphia,US,39.9526,-75.1652,iPhone,1,0,employee,0
2026-01-02T02:58:21,bob,169.103.18.37,Philadelphia,US,39.9526,-75.1652,MacBook,1,1,admin,1
2026-01-02T06:06:41,dana,114.98.32.141,New York,US,40.7128,-74.006,Win10-Laptop,0,1,analyst,0
2026-01-02T08:24:22,edgar,181.113.144.76,New York,US,40.7128,-74.006,iPhone,1,0,employee,0
2026-01-02T09:02:24,dana,13.153.13.170,New York,US,40.7128,-74.006,MacBook,1,0,analyst,0
2026-01-02T09:29:34,alice,76.213.161.159,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,0,employee,0
2026-01-02T09:50:48,hari,7.59.217.188,Bengaluru,IN,12.9716,77.5946,MacBook,1,1,engineer,0
2026-01-02T10:46:38,hari,35.72.82.165,San Jose,US,37.3382,-121.8863,Win10-Laptop,1,1,engineer,0
2026-01-02T11:21:21,hari,171.254.64.206,San Jose,US,37.3382,-121.8863,Win10-Laptop,1,1,engineer,0
2026-01-02T11:25:21,charlie,113.86.111.209,Chicago,US,41.8781,-87.6298,MacBook,1,1,analyst,0
2026-01-02T12:06:50,frida,5.226.125.21,New York,US,40.7128,-74.006,MacBook,1,0,employee,0
2026-01-02T12:10:23,bob,153.22.227.14,Philadelphia,US,39.9526,-75.1652,Android,1,1,admin,1
2026-01-02T13:34:44,edgar,83.188.120.71,New York,US,40.7128,-74.006,Win10-Laptop,1,1,employee,0
2026-01-02T13:55:53,edgar,136.40.116.76,New York,US,40.7128,-74.006,Win10-Laptop,1,1,employee,0
2026-01-02T14:09:10,bob,114.170.109.125,Philadelphia,US,39.9526,-75.1652,MacBook,0,0,admin,1
2026-01-02T14:38:16,geeta,2.102.30.4,Philadelphia,US,39.9526,-75.1652,MacBook,1,1,employee,0
2026-01-02T16:56:45,geeta,172.116.160.207,Philadelphia,US,39.9526,-75.1652,MacBook,1,1,employee,0
2026-01-02T17:30:20,charlie,189.178.163.126,Chicago,US,41.8781,-87.6298,MacBook,1,1,analyst,0
2026-01-02T18:16:21,geeta,48.21.192.252,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,1,employee,0
2026-01-02T18:52:55,charlie,155.243.178.52,Chicago,US,41.8781,-87.6298,Win10-Laptop,1,1,analyst,0
2026-01-02T20:51:50,frida,164.70.134.116,New York,US,40.7128,-74.006,iPhone,1,1,employee,0
2026-01-02T21:21:06,alice,68.207.12.187,New York,US,40.7128,-74.006,Android,1,1,employee,0
2026-01-02T21:47:40,bob,97.108.117.88,Philadelphia,US,39.9526,-75.1652,MacBook,1,1,admin,1
