timestamp,user,ip,city,country,latitude,longitude,device,mfa_result,success,role,is_admin,hour,is_weekend,prev_latitude,prev_longitude,prev_timestamp,prev_ip,prev_device,prev_country,dist_km,mins_since_last,new_ip,new_device,new_country,risk_score,triage_note
2026-01-01 15:05:37+00:00,alice,130.155.7.144,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,0,1,employee,0,15,0,39.9526,-75.1652,2026-01-01 14:00:48+00:00,40.56.246.196,Android,US,0.0,64.81666666666666,1,1,0,60,"alice login from Philadelphia, US (0 km since last). Indicators: new device, new IP, MFA not completed. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-07 14:00:38+00:00,alice,225.253.213.207,Philadelphia,US,39.9526,-75.1652,MacBook,0,1,employee,0,14,0,40.7128,-74.006,2026-01-07 09:19:15+00:00,18.251.195.137,Win10-Laptop,US,129.724928189055,281.3833333333333,1,1,0,60,"alice login from Philadelphia, US (129 km since last). Indicators: new device, new IP, MFA not completed. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-07 14:45:38+00:00,alice,118.160.145.26,Bengaluru,IN,12.9716,77.5946,Win11-Work,1,0,employee,0,14,0,39.9526,-75.1652,2026-01-07 14:00:38+00:00,225.253.213.207,MacBook,US,13507.659689948685,45.0,1,1,1,75,"alice login from Bengaluru, IN (13507 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-07 19:38:12+00:00,alice,200.237.136.236,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,1,employee,0,19,0,12.9716,77.5946,2026-01-07 14:45:38+00:00,118.160.145.26,Win11-Work,IN,13507.659689948685,292.56666666666666,1,1,1,75,"alice login from Philadelphia, US (13507 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-10 14:12:06+00:00,alice,222.187.14.173,Bengaluru,IN,12.9716,77.5946,Win11-Work,1,1,employee,0,14,1,39.9526,-75.1652,2026-01-09 23:41:23+00:00,58.17.87.6,iPhone,US,13507.659689948685,870.7166666666667,1,1,1,75,"alice login from Bengaluru, IN (13507 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-10 17:34:28+00:00,alice,224.237.20.114,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,1,employee,0,17,1,12.9716,77.5946,2026-01-10 14:12:06+00:00,222.187.14.173,Win11-Work,IN,13507.659689948685,202.36666666666667,1,1,1,75,"alice login from Philadelphia, US (13507 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-10 18:41:41+00:00,alice,28.64.50.49,Bengaluru,IN,12.9716,77.5946,Win11-Work,1,1,employee,0,18,1,39.9526,-75.1652,2026-01-10 17:34:28+00:00,224.237.20.114,Win10-Laptop,US,13507.659689948685,67.21666666666667,1,1,1,75,"alice login from Bengaluru, IN (13507 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-11 02:51:55+00:00,alice,139.215.4.249,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,1,1,employee,0,2,1,12.9716,77.5946,2026-01-10 18:41:41+00:00,28.64.50.49,Win11-Work,IN,13507.659689948685,490.23333333333335,1,1,1,75,"alice login from Philadelphia, US (13507 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-11 15:57:03+00:00,alice,238.201.201.117,Philadelphia,US,39.9526,-75.1652,Win11-Work,0,1,employee,0,15,1,39.9526,-75.1652,2026-01-11 12:05:59+00:00,124.55.222.103,Win10-Laptop,US,0.0,231.06666666666666,1,1,0,60,"alice login from Philadelphia, US (0 km since last). Indicators: new device, new IP, MFA not completed. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-12 16:12:18+00:00,alice,16.192.81.15,Philadelphia,US,39.9526,-75.1652,Win10-Laptop,0,1,employee,0,16,0,39.9526,-75.1652,2026-01-12 16:03:37+00:00,15.246.131.21,MacBook,US,0.0,8.683333333333334,1,1,0,60,"alice login from Philadelphia, US (0 km since last). Indicators: new device, new IP, MFA not completed. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
2026-01-14 14:41:33+00:00,alice,225.35.68.30,San Jose,US,37.3382,-121.8863,Win11-Work,1,1,employee,0,14,0,39.9526,-75.1652,2026-01-14 11:04:34+00:00,226.18.226.63,MacBook,US,4031.179967582875,216.98333333333332,1,1,0,75,"alice login from San Jose, US (4031 km since last). Indicators: impossible travel, new device, new IP. Next: confirm user, review last 3 logins, enforce MFA, check access changes."
